 u2ff1-u200a4-u6b62-itaiji-001\@1                                          | u5e2b   | 2:0:7:57:15:52:26:40:37$1:12:13:26:37:26:107$1:2:2:26:37:73:37$1:22:23:73:37:73:61$1:2:2:26:61:73:61$1:2:2:26:80:73:80$1:22:23:73:80:73:107$1:2:2:26:107:73:107$1:32:32:51:107:51:167$1:2:0:51:137:87:137$1:0:0:28:124:28:176$2:0:7:16:180:53:171:89:158
 u2ff1-u200a4-u6b62-itaiji-001\@2                                          | u5e2b   | 99:0:0:0:0:200:200:u2ff1-u200a4-u6b62-01@2
 u2ff1-u53e3-u2ffb-u513f-u4e28-itaiji-001\@1                               | u3013   | 7:32:7:66:95:66:117:64:163:19:187$1:32:0:100:95:100:173$3:32:5:134:95:134:176:178:176$99:0:0:13:3:187:121:u53e3@12
 u2ff1-u53e3-u2ffb-u513f-u4e28-itaiji-001\@2                               | u3013   | 7:32:7:66:95:66:117:64:163:19:187$1:32:0:100:95:100:173$3:32:5:134:95:134:176:178:176$99:0:0:13:3:187:121:u53e3
 u2ff1-u53e3-u2ffb-u513f-u4e28-itaiji-001\@3                               | u3013   | 7:32:7:66:95:66:117:64:163:19:187$1:32:0:100:95:100:173$3:32:5:134:95:134:176:178:176$99:0:0:13:3:187:121:u53e3-j
 u2ff1-u53e3-u2ffb-u513f-u4e28-itaiji-001\@4                               | u4f83   | 7:32:7:66:95:66:117:64:163:19:187$1:32:0:100:95:100:173$3:32:5:134:95:134:176:178:176$99:0:0:13:3:187:121:u53e3-j
 u2ff1-u53e3-u2ffb-u513f-u4e28-itaiji-001\@5                               | u4f83   | 99:0:0:0:0:200:200:u2ff1-u53e3-u2bda7-var-001
 u2ff1-u53e3-u2ffb-u513f-u4e28\@1                                          | u4f83   | 99:0:0:11:10:184:96:u53e3@12$99:0:0:-5:84:199:196:dkw-08674@2
 u2ff1-u53e3-u2ffb-u513f-u4e28\@2                                          | u4f83   | 99:0:0:11:10:184:96:u53e3@12$99:0:0:-5:84:199:196:dkw-08674@4
 u2ff1-u53e3-u2ffb-u513f-u4e28\@3                                          | u4f83   | 99:0:0:11:10:184:96:u53e3@12$99:0:0:-5:-12:199:201:cdp-8bed-04
 u2ff1-u53e3-u2ffb-u513f-u4e28\@4                                          | u4f83   | 99:0:0:0:0:200:200:u2ff1-u53e3-u2bda7@2
 u4e29-01-var-001\@1                                                       | u4e29   | 1:0:32:36:44:36:132$2:0:7:18:143:50:129:83:115$7:0:7:82:14:82:128:82:169:12:188
 u4e29-01-var-002\@1                                                       | u4e29   | 1:0:413:36:44:36:125$1:2:0:36:125:112:125$1:0:0:82:14:82:185
 u4e29-01-var-002\@2                                                       | u4e29   | 1:0:413:36:44:36:125$1:2:0:36:125:112:125$1:0:0:77:14:77:185
 u4e29-01\@1                                                               | u4e29   | 99:0:0:-21:2:136:202:u4e29@3
 u4e29-01\@2                                                               | u4e29   | 99:0:0:-21:0:136:200:u4e29@5:0:0:0
